"site","parameter","datetime","date","year","month","day","hour","aqi","aqi_categ","unit","duration","qc_name"
"Hanoi","PM2.5 - Principal",2015-12-16 01:00:00,2015-12-16,2015,12,16,1,29,"Good","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-16 02:00:00,2015-12-16,2015,12,16,2,28.9,"Good","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-16 03:00:00,2015-12-16,2015,12,16,3,27,"Good","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-16 04:00:00,2015-12-16,2015,12,16,4,27.8,"Good","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-16 05:00:00,2015-12-16,2015,12,16,5,24,"Good","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-16 06:00:00,2015-12-16,2015,12,16,6,25,"Good","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-16 07:00:00,2015-12-16,2015,12,16,7,25,"Good","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-16 08:00:00,2015-12-16,2015,12,16,8,26.3,"Good","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-16 09:00:00,2015-12-16,2015,12,16,9,36,"Good","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-16 10:00:00,2015-12-16,2015,12,16,10,38.9,"Good","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-16 11:00:00,2015-12-16,2015,12,16,11,37.9,"Good","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-16 12:00:00,2015-12-16,2015,12,16,12,36.2,"Good","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-16 13:00:00,2015-12-16,2015,12,16,13,42.8,"Good","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-16 14:00:00,2015-12-16,2015,12,16,14,36.9,"Good","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-16 15:00:00,2015-12-16,2015,12,16,15,35,"Good","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-16 16:00:00,2015-12-16,2015,12,16,16,35,"Good","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-16 17:00:00,2015-12-16,2015,12,16,17,37,"Good","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-16 18:00:00,2015-12-16,2015,12,16,18,38.1,"Good","UG/M3","1 Hr","Valid"
